chr	TimeRatio	ads	cDBSCAN_Time	cDBSCAN_cluster	kDBSCAN_Time	kDBSCAN_cluster
chr10-chr10	0.082680486923,0.0982333774565,0.0753783021288,0.0746774069418,0.0873116063378	1.0,1.0,1.0,1.0,1.0	34.3,38.59,29.39,29.11,33.89	4596,4596,4596,4596,4596	414.85,392.84,389.9,389.81,388.15	4597,4597,4597,4597,4597
chr11-chr11	0.10818258506,0.0951856317299,0.0785272753762,0.0890790240653,0.07832202755	1.0,1.0,1.0,1.0,1.0	57.71,45.79,37.73,42.79,37.64	5555,5555,5555,5555,5555	533.45,481.06,480.47,480.36,480.58	5556,5556,5556,5556,5556
chr12-chr12	0.0848864010537,0.0943544063673,0.0779335762967,0.0884645523158,0.073285281601	1.0,1.0,1.0,1.0,1.0	51.56,45.76,37.85,42.9,38.23	5592,5592,5592,5592,5592	607.4,484.98,485.67,484.94,521.66	5593,5593,5593,5593,5593
chr13-chr13	0.0935246610903,0.0689733237747,0.0930591051073,0.0663727552176,0.0677534180083	1.0,1.0,1.0,1.0,1.0	25.94,18.28,22.94,16.41,16.75	2367,2367,2367,2367,2367	277.36,265.03,246.51,247.24,247.22	2368,2368,2368,2368,2368
chr14-chr14	0.0750205716592,0.0780070324421,0.0891592860796,0.0975719164207,0.0744600912835	1.0,1.0,1.0,1.0,1.0	48.32,58.79,66.24,67.43,53.51	3269,3269,3269,3269,3269	644.09,753.65,742.94,691.08,718.64	3270,3270,3270,3270,3270
chr15-chr15	0.0629155439341,0.0875239727771,0.0908244887106,0.0770978693827,0.116817447988	1.0,1.0,1.0,1.0,1.0	39.46,51.57,40.99,28.84,38.35	3113,3113,3113,3113,3113	627.19,589.21,451.31,374.07,328.29	3114,3114,3114,3114,3114
chr16-chr16	0.0681857059769,0.0825576847869,0.0806950569341,0.128112434985,0.0900817522752	1.0,1.0,1.0,1.0,1.0	39.86,42.22,36.78,34.73,35.04	2976,2976,2976,2976,2976	584.58,511.4,455.79,271.09,388.98	2977,2977,2977,2977,2977
chr17-chr17	0.0744575482563,0.0893966251204,0.0885146135359,0.125782027918,0.0809385968592	1.0,1.0,1.0,1.0,1.0	64.65,64.05,45.67,66.95,57.88	4455,4455,4455,4455,4455	868.28,716.47,515.96,532.27,715.11	4456,4456,4456,4456,4456
chr18-chr18	0.0518684999119,0.0695184676612,0.0656236523072,0.0890238793465,0.080181813539	1.0,1.0,1.0,1.0,1.0	23.54,29.87,27.39,38.25,31.4	2026,2026,2026,2026,2026	453.84,429.67,417.38,429.66,391.61	2027,2027,2027,2027,2027
chr19-chr19	0.140092986999,0.0845597510722,0.0851395143302,0.0858887952822,0.115796604429	1.0,1.0,1.0,1.0,1.0	50.32,20.11,20.23,20.39,27.35	3553,3553,3553,3553,3553	359.19,237.82,237.61,237.4,236.19	3554,3554,3554,3554,3554
chr20-chr20	0.0738686733326,0.0756546401952,0.0862541073384,0.104387747422,0.0686659023713	1.0,1.0,1.0,1.0,1.0	35.83,34.41,37.8,27.74,22.76	2598,2598,2598,2598,2598	485.05,454.83,438.24,265.74,331.46	2599,2599,2599,2599,2599
