chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	42163992	42166734	chr21	42257017	42260662	"0,255,255"	97	chr21-chr21-0	0.0	42.45592705167173	93476.5	8.56042407835	118.158301956	191.665294269
chr21	44949089	44950901	chr21	45127373	45129565	"0,255,255"	57	chr21-chr21-1	0.0	62.18181818181819	178474.0	15.7286070937	79.1528780676	109.956816822
chr21	41609963	41610643	chr21	42117516	42118216	"0,255,255"	5	chr21-chr21-10	0.0	28.8	507563.0	0.987737621186	5.94399449817	10.1549457799
chr21	25608210	25608733	chr21	25881865	25882663	"0,255,255"	10	chr21-chr21-100	0.0	38.91891891891892	273792.5	3.74811036129	12.5627159538	11.5577757073
chr21	28516595	28517850	chr21	28744250	28746075	"0,255,255"	26	chr21-chr21-101	0.0	34.99065420560748	227940.0	0.120481516883	30.2696633228	49.2155435448
chr21	25420844	25422388	chr21	25561629	25563054	"0,255,255"	15	chr21-chr21-102	0.0	32.23880597014925	140725.5	3.6191342067	17.2900887959	34.2697830756
chr21	25881952	25882378	chr21	26001119	26001650	"0,255,255"	7	chr21-chr21-103	0.0	64.61538461538461	119219.5	7.74535884561	10.500232151	18.4723873387
chr21	25790173	25790459	chr21	26716841	26717386	"0,255,255"	5	chr21-chr21-104	0.0	48.0	926797.5	5.61179251115	7.02818956351	12.0825279716
chr21	26849582	26850232	chr21	27699142	27699558	"0,255,255"	6	chr21-chr21-105	0.0	21.405405405405407	849443.0	1.87185767036	6.27564416217	15.6435834509
chr21	29233142	29233770	chr21	29372426	29372735	"0,255,255"	8	chr21-chr21-106	0.0	28.097560975609756	139124.5	1.66835646825	9.07988742093	16.3972929615
chr21	25607640	25608877	chr21	26715875	26716242	"0,255,255"	7	chr21-chr21-109	0.0	16.8	1107800.0	3.31200221358	6.52177790312	10.6469674944
chr21	42593006	42594061	chr21	42818119	42820113	"0,255,255"	24	chr21-chr21-11	0.0	29.53846153846154	225582.5	1.70874902495	26.2954787923	60.402172562
chr21	25421459	25422587	chr21	25567643	25568058	"0,255,255"	12	chr21-chr21-110	0.0	30.857142857142858	145827.5	10.0697609091	13.758162098	32.206597436
chr21	26849385	26851154	chr21	28939865	28940595	"0,255,255"	10	chr21-chr21-111	0.0	20.869565217391305	2089960.5	2.58316250018	9.94372795526	16.9787435818
chr21	29476562	29477141	chr21	29499647	29500287	"0,255,255"	8	chr21-chr21-112	0.0	75.42857142857143	23115.5	5.11333720624	12.442007029	18.6882065908
chr21	25607605	25608442	chr21	25703496	25704055	"0,255,255"	5	chr21-chr21-113	0.0	36.0	95752.0	3.89350194444	6.41602553772	11.4849956552
chr21	21003518	21004067	chr21	22791793	22792378	"0,255,255"	5	chr21-chr21-115	0.0	32.72727272727273	1788293.0	0.511384554427	6.21407100137	12.9139950905
chr21	14864085	14865463	chr21	15482062	15483552	"0,255,255"	32	chr21-chr21-116	0.0	74.32258064516128	618033.0	19.5254579523	47.3125239717	62.7836564205
chr21	14403641	14404820	chr21	14773430	14774272	"0,255,255"	14	chr21-chr21-117	0.0	42.0	369620.5	0.933701018382	17.7551248531	27.5810384186
chr21	15483008	15483824	chr21	15592063	15592591	"0,255,255"	6	chr21-chr21-118	0.0	61.714285714285715	108911.0	3.92052734054	8.96689886356	9.1584014886
chr21	16081826	16084044	chr21	16328443	16331178	"0,255,255"	42	chr21-chr21-119	0.0	64.34042553191489	246875.5	14.9680480654	59.2043896334	103.825307449
chr21	42145618	42145867	chr21	42309693	42310080	"0,255,255"	6	chr21-chr21-12	0.0	48.0	164144.0	5.47054134488	8.32235169233	9.05820626426
chr21	14403827	14404340	chr21	15592362	15592689	"0,255,255"	9	chr21-chr21-120	0.0	51.84	1188442.0	7.15156422598	12.4713699305	17.2663274841
chr21	14403708	14404689	chr21	14864221	14865456	"0,255,255"	7	chr21-chr21-121	0.0	21.91304347826087	460640.0	0.0601719887739	7.29278085212	10.3780608075
chr21	17386826	17388533	chr21	17585015	17586470	"0,255,255"	47	chr21-chr21-122	0.0	62.04	198063.0	2.82661271643	65.4017465027	122.813904241
chr21	14259450	14260587	chr21	15591458	15592924	"0,255,255"	24	chr21-chr21-123	0.0	64.0	1332172.5	12.2510042031	34.1722557708	55.9888627607
chr21	14402778	14404403	chr21	15482951	15483472	"0,255,255"	15	chr21-chr21-124	0.0	20.571428571428573	1079621.0	1.38486448144	14.4705709411	26.0766139804
chr21	15062448	15062852	chr21	15483094	15483487	"0,255,255"	7	chr21-chr21-125	0.0	48.0	420640.5	0.970983390974	9.61079416846	15.9192682126
chr21	17387049	17387256	chr21	17554700	17554986	"0,255,255"	7	chr21-chr21-126	0.0	67.2	167690.5	6.78785205187	10.6178845161	20.7946751359
chr21	18295289	18295894	chr21	22791683	22792553	"0,255,255"	6	chr21-chr21-128	0.0	37.56521739130435	4496526.5	2.64148742522	7.69651190341	13.9435627579
chr21	43610926	43613472	chr21	43645541	43647590	"0,255,255"	45	chr21-chr21-13	0.0	44.0	34366.5	3.99888986354	56.0730240487	106.560742985
chr21	15483142	15483500	chr21	15826296	15827095	"0,255,255"	5	chr21-chr21-130	0.0	40.0	343374.5	4.78999234017	6.6398024	10.3122800865
chr21	38158150	38160487	chr21	38355378	38357162	"0,255,255"	49	chr21-chr21-131	0.0	25.110320284697508	196951.5	3.85836090946	49.387459567	95.9469845117
chr21	32993963	32994888	chr21	33126996	33128216	"0,255,255"	15	chr21-chr21-132	0.0	39.130434782608695	133180.5	7.92603961569	18.518814044	35.628713355
chr21	36976288	36978389	chr21	37008849	37010830	"0,255,255"	37	chr21-chr21-133	0.0	62.68235294117647	32501.0	1.40151453005	51.8592068658	76.3886292215
chr21	36419845	36420225	chr21	36542735	36543353	"0,255,255"	11	chr21-chr21-134	0.0	30.461538461538463	123009.0	0.0161316898618	12.6106970625	19.7647789028
chr21	38733319	38734749	chr21	39135319	39138588	"0,255,255"	45	chr21-chr21-135	0.0	29.724770642201836	402919.5	9.0475023207	48.6165326646	94.7234160761
chr21	31196991	31199387	chr21	31579985	31583760	"0,255,255"	49	chr21-chr21-136	0.0	40.090909090909086	383683.5	7.21443036885	59.0338079672	101.715650642
chr21	33198863	33200610	chr21	33360703	33361933	"0,255,255"	23	chr21-chr21-137	0.0	36.57831325301205	161581.5	8.23732523563	27.308460345	43.0823855976
