chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	32838110	32854259	chr21	33120539	33141228	"0,255,255"	66	chr21-chr21-1003	0.0	2.474297074694689	284699.0	7.25168540922	9.98043572698	73.8075808878
chr21	24888985	24901768	chr21	25171954	25183670	"0,255,255"	33	chr21-chr21-1065	0.0	3.854014598540146	282435.5	5.58603811834	9.75685515732	33.0264729208
chr21	38722047	38736443	chr21	39132525	39146238	"0,255,255"	45	chr21-chr21-1119	0.0	2.384105960264901	410136.5	5.7191196052	6.63496607702	50.8537385602
chr21	14403237	14415813	chr21	14753446	14764328	"0,255,255"	37	chr21-chr21-1175	0.0	3.305210918114144	349362.0	8.20545382763	9.03761743799	46.9259591375
chr21	29095088	29109135	chr21	29453722	29468062	"0,255,255"	39	chr21-chr21-1197	0.0	2.9008264462809916	358780.5	5.11967780291	7.95991608079	35.4313503532
chr21	25602632	25615012	chr21	25854836	25868965	"0,255,255"	34	chr21-chr21-1200	0.006944444444444444	2.9212410501193316	253078.5	5.82429239568	7.11110855752	34.4932241106
chr21	34353147	34373679	chr21	34495804	34516904	"0,255,255"	69	chr21-chr21-1282	0.0	3.5786061588330633	142941.0	7.3044335335	17.7936520537	60.435749681
chr21	31764633	31806381	chr21	32238225	32286577	"0,255,255"	226	chr21-chr21-1291	0.006944444444444444	2.2281254279063396	476894.0	17.5576038209	25.8549149748	179.496092116
chr21	29458411	29493722	chr21	29832754	29860663	"0,255,255"	110	chr21-chr21-1305	0.0	2.9080227648246746	370642.0	14.3056499174	20.8913160936	102.027425778
chr21	34786072	34808523	chr21	35828871	35848644	"0,255,255"	56	chr21-chr21-1323	0.0	2.8068221371388793	1041460.0	5.4176047913	10.533122002	39.2231792731
chr21	44328401	44368951	chr21	44777185	44806859	"0,255,255"	141	chr21-chr21-1328	0.0	2.803645401822701	443346.0	5.74565488093	25.0197981515	115.742276222
chr21	29075448	29090453	chr21	29369048	29379265	"0,255,255"	111	chr21-chr21-134	0.0	2.754912099276112	291206.0	7.49212101914	19.3733324116	133.033579479
chr21	33207906	33222277	chr21	33303463	33314345	"0,255,255"	128	chr21-chr21-136	0.0	2.7117846108577317	93812.5	5.80416353408	21.6224942694	163.367987852
chr21	38152789	38166128	chr21	38349144	38361406	"0,255,255"	119	chr21-chr21-137	0.0	4.128161888701517	195816.5	25.1678560098	35.4313578558	171.610078095
chr21	45132412	45158365	chr21	45420176	45449297	"0,255,255"	84	chr21-chr21-1382	0.0	2.062755798090041	289348.0	10.5294589367	8.70075976466	90.7638428634
chr21	44069191	44095718	chr21	44268798	44313469	"0,255,255"	153	chr21-chr21-1415	0.0	3.857142857142857	208679.0	14.8359849088	41.8412725205	167.545493656
chr21	39515430	39540225	chr21	39702922	39737055	"0,255,255"	111	chr21-chr21-1423	0.027777777777777776	2.361353227950953	192161.0	9.10105544148	14.8167024942	122.034033129
chr21	17383027	17401714	chr21	17568902	17595236	"0,255,255"	69	chr21-chr21-1446	0.0	2.1949926362297494	189698.5	9.53559591197	8.3086372214	95.924867387
chr21	34680214	34697354	chr21	35832492	35847205	"0,255,255"	35	chr21-chr21-1456	0.0	3.38482202820685	1151064.5	5.03836662379	8.85109355146	23.3953134792
chr21	34716376	34761858	chr21	35825615	35854066	"0,255,255"	148	chr21-chr21-1474	0.0	2.7724730063743985	1100723.5	14.2546721045	25.7449688652	96.4896549846
chr21	45451804	45479464	chr21	45810533	45843591	"0,255,255"	117	chr21-chr21-1482	0.006944444444444444	3.1298532416867917	361428.0	8.71366469514	24.6674348391	129.801634185
chr21	25604662	25614987	chr21	25702091	25714503	"0,255,255"	79	chr21-chr21-153	0.006944444444444444	2.5495293590318244	98472.5	8.86656649219	12.3958221185	111.235338448
chr21	33645279	33662142	chr21	33870351	33897511	"0,255,255"	74	chr21-chr21-1569	0.0	2.3170254403131114	230220.5	6.10123234391	9.83358201736	62.5329038821
chr21	42143002	42155608	chr21	42248766	42267546	"0,255,255"	191	chr21-chr21-157	0.0	2.3784157730888964	108851.0	13.7959073805	25.102644438	236.413742862
chr21	42911775	42925829	chr21	43620872	43635750	"0,255,255"	38	chr21-chr21-1584	0.0	2.696895022178413	709509.0	5.53496398651	6.98745457904	42.1788329805
chr21	33912931	33925428	chr21	34339311	34358492	"0,255,255"	185	chr21-chr21-166	0.0	4.910516790669616	429722.0	29.4111862893	65.3104924713	232.729105612
