chr	TimeRatio	ads	cDBSCAN_Time	cDBSCAN_cluster	kDBSCAN_Time	kDBSCAN_cluster
chr1-chr1	0.000935011355121,0.000686973073751,0.00348684000209,0.00235390632681,0.00108529356584	1.0,1.0,1.0,1.0,1.0	89.91,131.82,303.22,129.52,131.37	9854,9854,9854,9854,9854	96159.26,191885.25,86961.26,55023.43,121045.59	9855,9855,9855,9855,9855
chr10-chr10	0.073949035749,0.0744979610679,0.0807279236277,0.0850993230987,0.090616767395	1.0,1.0,1.0,1.0,1.0	31.98,38.73,40.59,38.47,46.78	4596,4596,4596,4596,4596	432.46,519.88,502.8,452.06,516.24	4597,4597,4597,4597,4597
chr11-chr11	0.122544826021,0.101357677903,0.078073356797,0.0860256909303,0.0919959658935	1.0,1.0,1.0,1.0,1.0	70.19,60.62,43.7,48.62,50.17	5555,5555,5555,5555,5555	572.77,598.08,559.73,565.18,545.35	5556,5556,5556,5556,5556
chr12-chr12	0.0778082274744,0.0975617622396,0.0801449300487,0.0880440733644,0.090882567469	1.0,1.0,1.0,1.0,1.0	51.39,60.5,46.23,51.46,49.84	5592,5592,5592,5592,5592	660.47,620.12,576.83,584.48,548.4	5593,5593,5593,5593,5593
chr13-chr13	0.0614632891861,0.0815668496999,0.101246105919,0.0780863348914,0.0755252335257	1.0,1.0,1.0,1.0,1.0	19.12,25.55,34.45,25.56,23.69	2367,2367,2367,2367,2367	311.08,313.24,340.26,327.33,313.67	2368,2368,2368,2368,2368
chr14-chr14	0.0847120641909,0.0834808331111,0.105961389212,0.0794695736297,0.0722548496174	1.0,1.0,1.0,1.0,1.0	35.79,34.43,43.69,33.68,28.42	3269,3269,3269,3269,3269	422.49,412.43,412.32,423.81,393.33	3270,3270,3270,3270,3270
chr15-chr15	0.0884604148408,0.0914165869907,0.0778579059829,0.0959559067667,0.080086724483	1.0,1.0,1.0,1.0,1.0	30.28,29.64,23.32,28.9,24.01	3113,3113,3113,3113,3113	342.3,324.23,299.52,301.18,299.8	3114,3114,3114,3114,3114
chr16-chr16	0.0720436030499,0.0768240481478,0.106467174192,0.11135216009,0.0792305930845	1.0,1.0,1.0,1.0,1.0	24.85,23.87,28.25,29.77,20.76	2976,2976,2976,2976,2976	344.93,310.71,265.34,267.35,262.02	2977,2977,2977,2977,2977
chr17-chr17	0.0947670978105,0.102424598158,0.100011827321,0.114024613135,0.090296692607	1.0,1.0,1.0,1.0,1.0	44.84,45.37,42.28,46.79,37.13	4455,4455,4455,4455,4455	473.16,442.96,422.75,410.35,411.2	4456,4456,4456,4456,4456
chr18-chr18	0.0727399759345,0.077202159973,0.0754842188213,0.105323497159,0.0766146797075	1.0,1.0,1.0,1.0,1.0	18.74,18.3,18.2,21.13,17.39	2026,2026,2026,2026,2026	257.63,237.04,241.11,200.62,226.98	2027,2027,2027,2027,2027
chr19-chr19	0.0851195638706,0.0807891878846,0.0835858585859,0.0878305241998,0.110408057851	1.0,1.0,1.0,1.0,1.0	27.48,26.78,26.48,28.4,34.2	3553,3553,3553,3553,3553	322.84,331.48,316.8,323.35,309.76	3554,3554,3554,3554,3554
chr2-chr2	0.000932628992742,0.000643112211442,0.000731754962048,0.00172760409523,0.000856116465541	1.0,1.0,1.0,1.0,1.0	80.93,101.95,102.34,104.29,99.58	7627,7627,7627,7627,7627	86776.2,158525.99,139855.56,60366.84,116315.95	7628,7628,7628,7628,7628
chr20-chr20	0.0682611224193,0.088893296311,0.0768024448108,0.0807792395547,0.0991741713688	1.0,1.0,1.0,1.0,1.0	18.78,22.41,19.1,22.35,26.54	2598,2598,2598,2598,2598	275.12,252.1,248.69,276.68,267.61	2599,2599,2599,2599,2599
chr21-chr21	0.0784066557418,0.0657293919731,0.0721941354904,0.078095684803,0.0680280046674	1.0,1.0,1.0,1.0,1.0	6.22,5.47,7.14,6.66,5.83	804,804,804,804,804	79.33,83.22,98.9,85.28,85.7	805,805,805,805,805
chr22-chr22	0.082394092499,0.0857562202963,0.077024618837,0.0909615015053,0.0869200490417	1.0,1.0,1.0,1.0,1.0	12.72,12.27,11.67,14.2,13.47	1730,1730,1730,1730,1730	154.38,143.08,151.51,156.11,154.97	1731,1731,1731,1731,1731
chr3-chr3	0.106464199093,0.0700213048706,0.0753820350354,0.0776147560313,0.0816790204686	1.0,1.0,1.0,1.0,1.0	100.96,66.39,72.81,75.7,79.45	6610,6610,6610,6610,6610	948.3,948.14,965.88,975.33,972.71	6611,6611,6611,6611,6611
chr4-chr4	0.0667214019063,0.0777482044217,0.0818054167904,0.0644713905819,0.0852604650571	1.0,1.0,1.0,1.0,1.0	52.01,58.13,60.59,50.67,66.99	4841,4841,4841,4841,4841	779.51,747.67,740.66,785.93,785.71	4842,4842,4842,4842,4842
chr5-chr5	0.0712369506232,0.0804537369142,0.0897552944698,0.0731751524139,0.0879769284317	1.0,1.0,1.0,1.0,1.0	46.47,55.18,59.97,44.41,53.08	5462,5462,5462,5462,5462	652.33,685.86,668.15,606.9,603.34	5463,5463,5463,5463,5463
chr6-chr6	0.132842775782,0.0936201561809,0.0878334215195,0.0839016777214,0.0854188993255	1.0,1.0,1.0,1.0,1.0	84.67,63.54,56.44,53.76,54.2	5876,5876,5876,5876,5876	637.37,678.7,642.58,640.75,634.52	5877,5877,5877,5877,5877
chr7-chr7	0.0818536731859,0.0781443223976,0.0770723951786,0.0973180492928,0.0688269951794	1.0,1.0,1.0,1.0,1.0	43.61,42.97,41.69,53.74,38.55	4889,4889,4889,4889,4889	532.78,549.88,540.92,552.21,560.1	4890,4890,4890,4890,4890
chr8-chr8	0.0672615450247,0.0879294597063,0.0741413931588,0.0842535355136,0.0557387344952	1.0,1.0,1.0,1.0,1.0	37.84,50.06,42.83,47.84,31.95	4328,4328,4328,4328,4328	562.58,569.32,577.68,567.81,573.21	4329,4329,4329,4329,4329
chr9-chr9	0.0880453284212,0.0713069837939,0.0972987264795,0.0815755685987,0.093645320197	1.0,1.0,1.0,1.0,1.0	37.76,30.58,44.16,35.58,38.02	3938,3938,3938,3938,3938	428.87,428.85,453.86,436.16,406.0	3939,3939,3939,3939,3939
chrM-chrM	0.154977184384,0.15811535882,0.168573868488,0.151898734177,0.165552699229	1.0,1.0,1.0,1.0,1.0	9.17,9.43,9.87,8.88,9.66	13,13,13,13,13	59.17,59.64,58.55,58.46,58.35	14,14,14,14,14
chrX-chrX	0.0908799460052,0.107312265139,0.0933217636176,0.0884428245686,0.0997467263027	1.0,1.0,1.0,1.0,1.0	53.86,69.68,57.0,49.26,55.53	2908,2908,2908,2908,2908	592.65,649.32,610.79,556.97,556.71	2909,2909,2909,2909,2909
