chromosome1	x1	x2	chromosome2	y1	y2	color	observed	loopId	FDR	EnrichmentScore	distance	-log10(binomal_p-value)	-log10(poisson_p-value)	-log10(hypergeometric_p-value)
chr21	37251307	37272023	chr21	37361250	37376914	"0,255,255"	68	chr21-chr21-106	0.027777777777777776	2.478987341772152	107417.0	8.25471827714	10.2899401578	101.059883855
chr21	42461427	42470927	chr21	42532117	42540644	"0,255,255"	80	chr21-chr21-11	0.0	4.611689351481185	70203.5	8.08245724066	27.1458550696	120.60884328
chr21	34361672	34373260	chr21	34620336	34636869	"0,255,255"	53	chr21-chr21-116	0.0	8.292046936114733	261136.5	14.5333606209	29.6546716668	61.5676401876
chr21	42584653	42602052	chr21	42809001	42828082	"0,255,255"	74	chr21-chr21-117	0.0	4.949372967951695	225189.0	15.255011659	26.9902131644	103.977716311
chr21	42161148	42167854	chr21	42252864	42263938	"0,255,255"	78	chr21-chr21-12	0.006944444444444444	3.9313965698284914	93900.0	11.3286007818	22.3368072168	122.993667045
chr21	42303506	42318668	chr21	42531587	42551225	"0,255,255"	60	chr21-chr21-125	0.0	3.853702051739518	230319.0	5.00202904322	17.0183317992	58.817735407
chr21	33193042	33209438	chr21	33350450	33367795	"0,255,255"	145	chr21-chr21-17	0.0	4.937337432017025	157882.5	13.618019757	51.7208159809	191.93014361
chr21	44939560	44956743	chr21	45118602	45142816	"0,255,255"	206	chr21-chr21-18	0.0	6.634757324983226	182557.5	42.0534493757	94.8012223364	304.445596437
chr21	42302614	42318624	chr21	42439158	42457531	"0,255,255"	152	chr21-chr21-20	0.0	4.28169014084507	137725.5	15.1605199821	46.786059898	183.604171674
chr21	42138874	42153079	chr21	42442396	42456511	"0,255,255"	92	chr21-chr21-22	0.0	6.857142857142858	303477.0	23.658399946	44.1107128214	104.787775418
chr21	25414190	25432235	chr21	25555592	25576430	"0,255,255"	173	chr21-chr21-27	0.0	4.9833966793358675	142798.5	45.4151425806	62.0374421054	271.676038774
chr21	33193923	33207620	chr21	33368689	33386475	"0,255,255"	124	chr21-chr21-29	0.0	4.96150348590482	176810.5	12.023348051	44.6070343433	165.064486085
chr21	38165188	38175256	chr21	38347569	38358694	"0,255,255"	107	chr21-chr21-3	0.006944444444444444	5.262295081967213	182909.5	12.3031995859	40.850634124	149.721065473
chr21	38207029	38226088	chr21	38345919	38362379	"0,255,255"	131	chr21-chr21-33	0.020833333333333332	3.0250160359204616	137590.5	13.7652175659	26.1762013692	172.27993259
chr21	25457422	25471205	chr21	25555182	25571519	"0,255,255"	120	chr21-chr21-36	0.006944444444444444	3.8971583220568333	99037.0	16.5141504715	33.4589317568	183.87924207
chr21	33918716	33925271	chr21	34013670	34024603	"0,255,255"	54	chr21-chr21-40	0.0	6.161648177496038	97143.0	6.92114876126	24.1886892097	74.9588927374
chr21	34504250	34515864	chr21	34625784	34636463	"0,255,255"	57	chr21-chr21-43	0.0	4.757341576506955	121066.5	7.94970717245	20.2361290858	82.082824408
chr21	25600697	25613739	chr21	25697831	25718475	"0,255,255"	79	chr21-chr21-47	0.0	3.673232160154989	100935.0	8.65115218214	20.8829904461	108.597371227
chr21	36132622	36162484	chr21	36322890	36343544	"0,255,255"	175	chr21-chr21-50	0.0	3.5704165485973367	185664.0	23.6211960518	43.3901533296	228.363795875
chr21	29077837	29114242	chr21	29363072	29383647	"0,255,255"	211	chr21-chr21-58	0.0	4.201327433628319	277320.0	23.8744125352	63.1538369544	266.077792815
chr21	31194334	31205198	chr21	31576835	31586129	"0,255,255"	84	chr21-chr21-6	0.0	6.5032258064516135	381716.0	13.2706974776	38.7219596749	117.633638203
chr21	33914411	33932185	chr21	34230284	34255438	"0,255,255"	105	chr21-chr21-61	0.0	4.562462281231141	319563.0	16.3012476617	34.913846773	117.582110989
chr21	43804658	43820409	chr21	43930998	43949981	"0,255,255"	82	chr21-chr21-67	0.006944444444444444	2.40097600650671	127956.0	10.4407381774	11.540633491	130.417318875
